,device_id,zip,size,trainrow,testrow
0,-9222956879900151005,12,13,21594.0,
1,-9222956879900151005,101,52,21594.0,
2,-9222661944218806987,12,8,,13612.0
3,-9222399302879214035,12,10,,10825.0
4,-9221825537663503111,12,1,,106929.0
5,-9221825537663503111,330,52,,106929.0
6,-9221825537663503111,351,46,,106929.0
7,-9221767098072603291,12,8,,35716.0
8,-9221079146476055829,12,27,,12532.0
9,-9221026417907250887,12,15,27155.0,
10,-9221026417907250887,267,132,27155.0,
11,-9220830859283101130,12,8,31158.0,
12,-9220452176650064280,12,6,,2366.0
13,-9220452176650064280,15,29,,2366.0
14,-9220329415676028483,12,23,,83094.0
15,-9220061629197656378,12,13,74103.0,
16,-9220061629197656378,637,39,74103.0,
17,-9220053820290758471,12,2,,97141.0
18,-9220053820290758471,424,19,,97141.0
19,-9220053820290758471,448,9,,97141.0
20,-9218960997324667698,12,6,33759.0,
21,-9218823910602782607,12,51,,62416.0
22,-9218823910602782607,172,16,,62416.0
23,-9218769147970107256,12,3,72531.0,
24,-9218769147970107256,216,17,72531.0,
25,-9218056599942247372,12,3,,72062.0
26,-9217949267928255020,12,2,,
27,-9217813913945226286,12,8,,73108.0
28,-9217813913945226286,15,34,,73108.0
29,-9217515328051764906,12,2,,44944.0
30,-9217193238265898015,12,2,58566.0,
31,-9216200545381120263,12,1,3519.0,
32,-9215964883962797708,12,2,48415.0,
33,-9215766592714662253,12,1,55268.0,
34,-9215722913042087294,12,5,,71869.0
35,-9215722913042087294,298,231,,71869.0
36,-9215352913819638805,81,18,38547.0,
37,-9214850807520229548,12,3,,37215.0
38,-9214243372173201436,12,3,34907.0,
39,-9213722931755358670,12,12,44950.0,
40,-9213411371629884254,12,3,,
41,-9213411371629884254,402,11,,
42,-9212424538588397592,80,15,71390.0,
43,-9212412905070443687,12,28,36661.0,
44,-9212215094473853407,12,5,,
45,-9212215094473853407,257,8,,
46,-9211913362970025570,12,19,,60741.0
47,-9211913362970025570,558,16,,60741.0
48,-9211913362970025570,584,273,,60741.0
49,-9211539959417136500,12,5,,40298.0
50,-9210896665715593536,12,27,,77869.0
51,-9210009798393734484,12,19,,109642.0
52,-9210009798393734484,249,13,,109642.0
53,-9209849644716288960,12,76,37160.0,
54,-9209749867062248847,12,22,,58667.0
55,-9209307853420372553,12,7,,43799.0
56,-9208560418953812508,12,9,50202.0,
57,-9208546755035802907,12,14,,72590.0
58,-9208331446608902079,12,2,,49157.0
59,-9206899042396323934,12,3,11817.0,
60,-9206882335892076700,12,12,32842.0,
61,-9206526007766459625,12,3,,11964.0
62,-9206526007766459625,195,4,,11964.0
63,-9206526007766459625,216,74,,11964.0
64,-9206526007766459625,217,1,,11964.0
65,-9206202041936929793,12,54,43795.0,
66,-9206202041936929793,351,159,43795.0,
67,-9206091478907788671,12,1,,100157.0
68,-9205645091197548271,12,8,10307.0,
69,-9205645091197548271,80,239,10307.0,
70,-9205293319808660496,12,14,31904.0,
71,-9205293319808660496,295,15,31904.0,
72,-9205185018270018067,12,1,71398.0,
